ESTACION,EXPLICACION,IDBARRIO
Ciudad Vieja 3,Corresponde a E1 (Ciudad Vieja) Ubicacion  Academia Uruguay,1
Ciudad Vieja 1,Corresponde a E1 (Ciudad Vieja) Ubicacion  sede AEBU,1
Ciudad Vieja 2,Corresponde a E1 (Ciudad Vieja) Ubicacion  museo Romántico,1
Centro,Corresponde a E2 (Centro) Ubicacion edificio sede de Intendencia,2
Tres Cruces,Corresponde a E5 (Tres Cruces) Ubicacion Universidad Católica Dámaso Antronio Larrañaga,47
Tres Cruces 2,Corresponde a E5 (Tres Cruces) Ubicacion Shopping Tres Cruces,47
Curva de Maronas,Corresponde a E6 (Curva de Maroñas) Ubicacion Edificio Municipio F,17
Portones de Carrasco,Corresponde a E7 (Portones de Carrasco) Ubicacion Shopping Portones,15
Portones de Carrasco 2,Corresponde a E7 (Portones de Carrasco) Ubicacion Policlinica Lugo,15
La Teja 1,Corresponde a E3 (La Teja) Ubicacion Biblioteca Municipal,38
La Teja 2,Corresponde a E3 (La Teja) Ubicacion Comisaría 19,38
Colon ,Corresponde a E8 (Colón) Ubicacion Laboratorio MTOP,59
Colon 1,Corresponde a E8 (Colón) Ubicacion Laboratorio MTOP 2,59
Goes,Corresponde a E9 (Goes) Ubicacion CCZ3,41
Prado,Corresponde a E4 (Prado) Ubicación Museo Blanes,39
